,date_tag_0,value_tag_0,date_tag_1,value_tag_1,date_tag_2,value_tag_2,date_tag_3,value_tag_3,date_tag_4,value_tag_4
32,2022-01-11T13:57:13.692,44.0,2022-01-11T05:07:13.954,44.0,2022-01-11T08:42:13.832,74.0,2022-01-11T04:41:31.907,74.0,2022-01-11T05:00:00.851,42.9
33,2022-01-11T14:22:13.712,44.0,2022-01-11T05:08:51.776,44.0,2022-01-11T08:45:29.3,75.0,2022-01-11T04:41:46.914,73.0,2022-01-11T05:05:11.837,42.9
34,2022-01-11T14:47:13.733,44.0,2022-01-11T05:17:13.863,44.0,2022-01-11T08:49:23.269,74.0,2022-01-11T04:42:14.885,74.0,2022-01-11T05:19:22.812,42.9
35,2022-01-11T15:17:13.658,44.0,2022-01-11T05:20:13.824,43.0,2022-01-11T08:57:13.844,74.0,2022-01-11T05:12:13.858,74.0,2022-01-11T05:26:48.833,42.7
36,2022-01-11T15:42:13.678,44.0,2022-01-11T05:37:13.879,43.0,2022-01-11T08:59:27.287,75.0,2022-01-11T05:22:13.867,74.0,2022-01-11T05:34:35.913,42.8
37,2022-01-11T16:07:13.699,44.0,2022-01-11T05:38:26.95,44.0,2022-01-11T08:59:59.298,74.0,2022-01-11T05:24:24.798,73.0,2022-01-11T05:47:39.955,42.8
38,2022-01-11T16:32:13.62,44.0,2022-01-11T05:42:40.965,43.0,2022-01-11T09:00:15.288,74.0,2022-01-11T05:24:47.823,73.0,2022-01-11T05:59:12.893,42.9
39,2022-01-11T16:57:13.64,44.0,2022-01-11T05:46:52.968,44.0,2022-01-11T09:00:33.29,75.0,2022-01-11T05:26:16.837,74.0,2022-01-11T06:21:58.878,42.9
40,2022-01-11T17:22:13.661,44.0,2022-01-11T05:48:02.965,43.0,2022-01-11T09:27:13.869,75.0,2022-01-11T05:52:13.891,74.0,2022-01-11T06:34:24.855,42.9
41,2022-01-11T17:47:13.682,44.0,2022-01-11T05:52:04.937,44.0,2022-01-11T09:57:13.794,75.0,2022-01-11T06:17:13.912,74.0,2022-01-11T06:40:50.731,42.9
42,2022-01-11T18:17:13.606,44.0,2022-01-11T05:57:13.896,44.0,2022-01-11T10:22:13.814,75.0,2022-01-11T06:42:13.833,74.0,2022-01-11T06:52:49.534,42.8
43,2022-01-11T18:42:13.627,44.0,2022-01-11T05:58:46.903,43.0,2022-01-11T10:47:13.835,75.0,2022-01-11T06:45:58.629,73.0,2022-01-11T06:59:33.575,42.7
44,2022-01-11T19:07:13.648,44.0,2022-01-11T06:05:28.916,44.0,2022-01-11T11:17:13.76,75.0,2022-01-11T06:47:56.55,74.0,2022-01-11T07:17:47.62,42.7
45,2022-01-11T19:37:13.572,44.0,2022-01-11T06:22:13.916,44.0,2022-01-11T11:42:13.78,75.0,2022-01-11T06:50:09.54,73.0,2022-01-11T07:35:31.386,42.8
46,2022-01-11T20:02:13.593,44.0,2022-01-11T06:25:07.888,44.0,2022-01-11T12:07:13.801,75.0,2022-01-11T06:50:37.542,74.0,2022-01-11T07:51:25.359,42.8
47,2022-01-11T20:27:13.614,44.0,2022-01-11T06:37:13.929,44.0,2022-01-11T12:37:13.726,75.0,2022-01-11T06:57:13.845,74.0,2022-01-11T07:59:07.316,42.7
48,2022-01-11T20:57:13.538,44.0,2022-01-11T06:40:29.734,43.0,2022-01-11T13:02:13.746,75.0,2022-01-11T07:00:40.592,73.0,2022-01-11T08:04:59.315,42.9
49,2022-01-11T21:22:13.559,44.0,2022-01-11T06:52:13.841,43.0,2022-01-11T13:27:13.767,75.0,2022-01-11T07:00:57.612,74.0,2022-01-11T08:22:24.252,42.9
50,2022-01-11T21:47:13.58,44.0,2022-01-11T06:54:36.55,44.0,2022-01-11T13:57:13.692,75.0,2022-01-11T07:01:25.598,73.0,2022-01-11T08:36:41.333,42.8
51,2022-01-11T22:17:13.504,44.0,2022-01-11T06:55:09.575,43.0,2022-01-11T14:22:13.712,75.0,2022-01-11T07:02:05.581,74.0,2022-01-11T08:51:13.25,42.8
52,2022-01-11T22:42:13.525,44.0,2022-01-11T07:22:13.866,43.0,2022-01-11T14:47:13.733,75.0,2022-01-11T07:02:21.602,73.0,2022-01-11T09:16:44.252,42.9
53,2022-01-11T23:07:13.546,44.0,2022-01-11T07:47:13.886,43.0,2022-01-11T15:17:13.658,75.0,2022-01-11T07:04:49.662,74.0,2022-01-11T09:32:21.189,42.8
54,2022-01-11T23:32:13.566,44.0,2022-01-11T07:52:13.89,43.0,2022-01-11T15:42:13.678,75.0,2022-01-11T07:07:07.645,73.0,2022-01-11T09:47:15.096,42.9
55,2022-01-12T00:02:13.491,44.0,2022-01-11T07:53:05.386,44.0,2022-01-11T16:07:13.699,75.0,2022-01-11T07:10:47.652,74.0,2022-01-11T09:54:29.057,42.8
56,2022-01-12T00:27:13.512,44.0,2022-01-11T07:53:53.403,43.0,2022-01-11T16:32:13.62,75.0,2022-01-11T07:16:26.625,73.0,2022-01-11T10:05:21.139,42.8
57,2022-01-12T00:52:13.532,44.0,2022-01-11T08:02:13.799,43.0,2022-01-11T16:57:13.64,75.0,2022-01-11T07:17:28.619,74.0,2022-01-11T10:10:17.102,42.8
58,2022-01-12T01:22:13.457,44.0,2022-01-11T08:04:37.319,44.0,2022-01-11T17:22:13.661,75.0,2022-01-11T07:19:35.401,73.0,2022-01-11T10:29:20.974,42.8
59,2022-01-12T01:47:13.478,44.0,2022-01-11T08:22:13.815,44.0,2022-01-11T17:47:13.682,75.0,2022-01-11T07:20:37.395,74.0,2022-01-11T10:40:40.979,42.9
60,2022-01-12T02:12:13.498,44.0,2022-01-11T08:23:36.261,43.0,2022-01-11T18:17:13.606,75.0,2022-01-11T07:21:17.425,73.0,2022-01-11T10:42:50.959,42.8
61,2022-01-12T02:42:13.423,44.0,2022-01-11T08:26:27.238,44.0,2022-01-11T18:42:13.627,75.0,2022-01-11T07:21:47.408,74.0,2022-01-11T11:05:42.616,42.9
62,2022-01-12T03:07:13.444,44.0,2022-01-11T08:26:45.24,44.0,2022-01-11T19:07:13.648,75.0,2022-01-11T07:23:17.405,73.0,2022-01-11T11:17:40.67,42.9
63,2022-01-12T03:32:13.464,44.0,2022-01-11T08:27:01.246,44.0,2022-01-11T19:37:13.572,75.0,2022-01-11T07:27:21.342,74.0,2022-01-11T11:28:20.692,42.8
64,2022-01-12T04:02:13.389,44.0,2022-01-11T08:30:07.26,44.0,2022-01-11T20:02:13.593,75.0,2022-01-11T07:27:45.335,73.0,2022-01-11T11:40:11.819,42.8
65,2022-01-12T04:27:13.41,44.0,2022-01-11T08:36:17.34,43.0,2022-01-11T20:27:13.614,75.0,2022-01-11T07:29:01.323,74.0,2022-01-11T11:51:05.304,42.8
66,2022-01-12T04:52:13.43,44.0,2022-01-11T08:38:51.328,44.0,2022-01-11T20:57:13.538,75.0,2022-01-11T07:31:05.343,73.0,2022-01-11T11:57:39.299,42.8
67,2022-01-12T05:22:13.355,44.0,2022-01-11T08:39:22.325,43.0,2022-01-11T21:22:13.559,75.0,2022-01-11T07:32:17.353,74.0,2022-01-11T12:27:01.066,42.8
68,2022-01-12T05:47:13.376,44.0,2022-01-11T08:40:07.316,43.0,2022-01-11T21:47:13.58,75.0,2022-01-11T07:36:32.366,73.0,2022-01-11T12:46:10.991,42.7
69,2022-01-12T06:12:13.397,44.0,2022-01-11T08:40:59.295,44.0,2022-01-11T22:17:13.504,75.0,2022-01-11T07:37:21.351,74.0,2022-01-11T12:58:44.144,42.9
70,2022-01-12T06:37:13.417,44.0,2022-01-11T08:47:13.836,44.0,2022-01-11T22:42:13.525,75.0,2022-01-11T08:07:13.803,74.0,2022-01-11T13:07:33.157,42.8
71,2022-01-12T07:07:13.342,44.0,2022-01-11T08:49:55.249,43.0,2022-01-11T23:07:13.546,75.0,2022-01-11T08:32:13.824,74.0,2022-01-11T13:13:55.077,42.8
72,2022-01-12T07:32:13.363,44.0,2022-01-11T09:02:13.848,43.0,2022-01-11T23:32:13.566,75.0,2022-01-11T08:42:13.832,74.0,2022-01-11T13:34:01.053,42.8
73,2022-01-12T07:57:13.383,44.0,2022-01-11T09:08:08.296,43.0,2022-01-12T00:02:13.491,75.0,2022-01-11T08:45:25.275,75.0,2022-01-11T13:35:58.068,42.9
74,2022-01-12T08:27:13.308,44.0,2022-01-11T09:15:41.243,44.0,2022-01-12T00:27:13.512,75.0,2022-01-11T08:48:56.266,74.0,2022-01-11T13:46:23.052,42.8
75,2022-01-12T08:52:13.329,44.0,2022-01-11T09:27:13.869,44.0,2022-01-12T00:52:13.532,75.0,2022-01-11T08:56:43.268,75.0,2022-01-11T13:52:04.92,42.9
76,2022-01-12T09:17:13.349,44.0,2022-01-11T09:32:03.203,43.0,2022-01-12T01:22:13.457,75.0,2022-01-11T08:57:07.261,74.0,2022-01-11T14:07:21.968,42.8
